Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
68,Kirpichnik,Aliaksei,BLR,"13.57,95",2018-03-24,Minsk,2018 FISU World University Speed Skating Championships,m,2017,10000
69,Morozov,Dmitry,KAZ,"13.58,11",2018-03-24,Minsk,2018 FISU World University Speed Skating Championships,m,2017,10000
70,Stangeland,Vetle,NOR,"13.58,22",2017-10-29,Stavanger (NOR),Norway - Single Distances Championships 2018,m,2017,10000
71,Petzold,Fridtjof,GER,"13.58,75",2018-03-11,Berlin (GER),ÜWK,m,2017,10000
72,van der Meer,Sjors,NED,"14.00,23",2018-03-24,Minsk,2018 FISU World University Speed Skating Championships,m,2017,10000
73,Yamamoto,Taishi,JPN,"14.00,47",2017-11-10,Obihiro (JPN),Japan Cup 1,m,2017,10000
74,Rehati,Baoerjiang,CHN,"14.00,71",2018-03-16,Urumqi (CHN),China - Allround Championships 2018,m,2017,10000
75,Wu,Yu,CHN,"14.02,73",2017-12-29,Harbin (CHN),China - Single Distances Championships 2018,m,2017,10000
76,Onodzuka,Koujiro,JPN,"14.03,00",2017-12-03,Shibukawa (JPN),37th All-Japan Student Championship,m,2017,10000
77,Engebråten,Hallgeir,NOR,"14.03,11",2017-10-29,Stavanger (NOR),Norway - Single Distances Championships 2018,m,2017,10000
78,Wang,Hongli,CHN,"14.04,11",2017-12-29,Harbin (CHN),China - Single Distances Championships 2018,m,2017,10000
79,Harada,Keisuke,JPN,"14.04,24",2018-01-06,Karuizawa (JPN),90th Japan Inter-Collegiate Championship,m,2017,10000
80,Hara,Yasushi,JPN,"14.08,30",2017-12-18,Nagano (JPN),62nd Nagano Prefecture HS Competition,m,2017,10000
81,Tomizu,Kenichiro,JPN,"14.08,31",2017-11-03,Obihiro (JPN),2017 Obihiro No Mori Competition,m,2017,10000
82,Shkolin,Egor,RUS,"14.08,85",2018-03-30,Moscow,Russia - Allround Championships 2018,m,2017,10000
83,Ogawa,Takuro,JPN,"14.09,12",2017-12-30,Nagano (JPN),Japan - Olympic Team Selection,m,2017,10000
84,Tanaka,Shouta,JPN,"14.09,58",2017-11-10,Obihiro (JPN),Japan Cup 1,m,2017,10000
85,Coljé,Gerwin,NED,"14.09,86",2018-01-28,Heerenveen (NED),Netherlands - Allround Championships 2018,m,2017,10000
86,Lee,Hae-Young,KOR,"14.10,26",2018-01-13,Seoul (KOR),99th National Winter Sports Festival,m,2017,10000
87,Xuan,Bowen,CHN,"14.10,69",2017-12-29,Harbin (CHN),China - Single Distances Championships 2018,m,2017,10000
88,Baklashkin,Maksim,KAZ,"14.11,03",2017-10-19,Astana (KAZ),Kazakhstan - Single Distances Championships 2018,m,2017,10000
89,Zapata,Daniel,COL,"14.11,93",2017-10-14,Salt Lake City (USA),Colombia - National Championships 2018,m,2017,10000
90,Ren,Jiahui,CHN,"14.12,35",2018-03-16,Urumqi (CHN),China - Allround Championships 2018,m,2017,10000
91,Black,Hamish,CAN,"14.12,44",2017-10-20,Calgary (CAN),Fall World Cup Selections,m,2017,10000
92,Zhou,Bin,CHN,"14.12,77",2018-03-16,Urumqi (CHN),China - Allround Championships 2018,m,2017,10000
93,Park,Sung-Kwang,KOR,"14.12,83",2017-10-20,Seoul (KOR),Korea - Single Distances Championships 2018,m,2017,10000
93,Shirakawa,Ryo,JPN,"14.12,83",2017-11-03,Obihiro (JPN),2017 Obihiro No Mori Competition,m,2017,10000
95,Sands,Theron,USA,"14.13,13",2017-10-14,Salt Lake City (USA),Fall World Cup Qualifier,m,2017,10000
96,Niiyama,Tsuyoshi,JPN,"14.13,86",2017-11-10,Obihiro (JPN),Japan Cup 1,m,2017,10000
97,Palka,Szymon,POL,"14.13,93",2018-03-24,Minsk,2018 FISU World University Speed Skating Championships,m,2017,10000
98,Zhu,Jiafan,CHN,"14.14,54",2018-03-16,Urumqi (CHN),China - Allround Championships 2018,m,2017,10000
99,Hong,Sung-Bin,KOR,"14.15,00",2018-01-13,Seoul (KOR),99th National Winter Sports Festival,m,2017,10000
100,Tuersonghan,Dasituer,CHN,"14.15,72",2017-12-29,Harbin (CHN),China - Single Distances Championships 2018,m,2017,10000
1,Kulizhnikov,Pavel,RUS,"33,61",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,500
2,Shinhama,Tatsuya,JPN,"33,79",2019-03-10,Salt Lake City (USA),ISU World Cup Final,m,2018,500
3,Cha,Min-Kyu,KOR,"34,03",2019-03-10,Salt Lake City (USA),ISU World Cup Final,m,2018,500
4,Murakami,Yuma,JPN,"34,10",2019-03-10,Salt Lake City (USA),ISU World Cup Final,m,2018,500
5,Dubreuil,Laurent,CAN,"34,11",2019-01-04,Calgary (CAN),Canada Cup #2,m,2018,500
6,Mushtakov,Viktor,RUS,"34,16",2019-03-10,Salt Lake City (USA),ISU World Cup Final,m,2018,500
7,Murashov,Ruslan,RUS,"34,22",2019-02-08,Inzell (GER),World Single Distances Championships 2019,m,2018,500
8,Haga,Ryohei,JPN,"34,23",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,500
9,Lorentzen,Håvard Holmefjord,NOR,"34,28",2019-03-10,Salt Lake City (USA),ISU World Cup Final,m,2018,500
10,Kim,Jun-Ho,KOR,"34,30",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,500
11,Hasegawa,Tsubasa,JPN,"34,35",2019-03-10,Salt Lake City (USA),ISU World Cup Final,m,2018,500
12,Junio,Gilmore,CAN,"34,44",2019-01-04,Calgary (CAN),Canada Cup #2,m,2018,500
13,Mulder,Ronald,NED,"34,50",2019-02-08,Inzell (GER),World Single Distances Championships 2019,m,2018,500
14,Fiola,Christopher,CAN,"34,55",2019-01-04,Calgary (CAN),Canada Cup #2,m,2018,500
14,N'tab,Dai Dai,NED,"34,55",2019-02-08,Inzell (GER),World Single Distances Championships 2019,m,2018,500
16,Gao,Tingyu,CHN,"34,59",2019-02-08,Inzell (GER),World Single Distances Championships 2019,m,2018,500
17,Mulder,Michel,NED,"34,62",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,500
18,Boisvert-Lacroix,Alex,CAN,"34,66",2019-01-04,Calgary (CAN),Canada Cup #2,m,2018,500
19,Smeekens,Jan,NED,"34,68",2019-02-08,Inzell (GER),World Single Distances Championships 2019,m,2018,500
20,Ihle,Nico,GER,"34,69",2019-02-08,Inzell (GER),World Single Distances Championships 2019,m,2018,500
21,Waś,Artur,POL,"34,72",2019-02-08,Inzell (GER),World Single Distances Championships 2019,m,2018,500
21,Verbij,Kai,NED,"34,72",2019-02-23,Heerenveen (NED),World Sprint Championships 2019,m,2018,500
23,Kim,Tae-Yun,KOR,"34,73",2019-03-10,Salt Lake City (USA),ISU World Cup Final,m,2018,500
24,Otterspeer,Hein,NED,"34,74",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,500
24,Rukke,Henrik Fagerli,NOR,"34,74",2019-03-08,Calgary (CAN),Grand Prix 2019,m,2018,500
26,Nogal,Artur,POL,"34,78",2019-02-24,Heerenveen (NED),World Sprint Championships 2019,m,2018,500
27,Yamada,Masaya,JPN,"34,83",2018-10-26,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,500
28,Hospes,Jesper,NED,"34,90",2019-03-14,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
29,Nuis,Kjeld,NED,"34,91",2018-12-28,Heerenveen (NED),Netherlands - Single Distances Championships 2019,m,2018,500
30,Michalski,Piotr,POL,"34,92",2019-02-08,Inzell (GER),World Single Distances Championships 2019,m,2018,500
31,Oikawa,Yuya,JPN,"34,94",2019-02-16,Nagano (JPN),17th M-Wave Competition,m,2018,500
32,Schipper,Pim,NED,"34,96",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,500
32,Matsui,Yamato,JPN,"34,96",2019-02-09,Obihiro (JPN),47th Hokkaido Sprint Championship,m,2018,500
34,Magnussen,Bjørn,NOR,"34,99",2018-11-17,Obihiro (JPN),ISU World Cup,m,2018,500
34,Esders,Gijs,NED,"34,99",2019-01-26,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,500
36,Kato,Joji,JPN,"35,00",2018-12-30,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,500
37,Yamanaka,Daichi,JPN,"35,02",2018-10-26,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,500
38,Sæves,Johann Jørgen,NOR,"35,03",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
39,Velema,Lennart,NED,"35,07",2019-01-26,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,500
40,Bosa,David,ITA,"35,08",2018-10-13,Inzell (GER),International Season Opening,m,2018,500
41,Fujino,Yuto,JPN,"35,11",2019-02-23,Heerenveen (NED),World Sprint Championships 2019,m,2018,500
42,Krol,Thomas,NED,"35,14",2018-12-28,Heerenveen (NED),Netherlands - Single Distances Championships 2019,m,2018,500
43,Jorritsma,Gerben,NED,"35,15",2019-01-26,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,500
44,Sakamoto,Eikichi,JPN,"35,16",2018-10-26,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,500
44,Graham,Jacob,CAN,"35,16",2019-01-27,Calgary (CAN),Canada Cup #3,m,2018,500
46,Owada,Tsukasa,JPN,"35,17",2018-12-29,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,500
47,Zakharov,Ruslan,RUS,"35,18",2018-10-25,Kolomna,Russia - Single Distances Championships 2019,m,2018,500
47,Dufter,Joel,GER,"35,18",2018-11-02,Inzell (GER),Germany - Single Distances Championships 2019,m,2018,500
47,Nakamura,Shunsuke,JPN,"35,18",2018-12-29,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,500
50,Kuznetsov,Artyom,RUS,"35,19",2018-12-29,Kolomna,Boris I. Shavyrin Memorial,m,2018,500
51,Romeijn,Aron,NED,"35,20",2018-10-27,Heerenveen (NED),Trainingswedstrijd Topteams en Deelnemers WCKT,m,2018,500
52,Griffin,Kimani,USA,"35,24",2018-12-28,Salt Lake City (USA),USA - Long Track Championships 2019,m,2018,500
53,Yesin,Alexey,RUS,"35,26",2018-10-25,Kolomna,Russia - Single Distances Championships 2019,m,2018,500
53,Oda,Takuro,JPN,"35,26",2018-12-29,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,500
55,Miwa,Junya,JPN,"35,29",2018-10-26,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,500
55,Golovatsiuk,Ignat,BLR,"35,29",2019-02-24,Heerenveen (NED),World Sprint Championships 2019,m,2018,500
57,Ning,Zhongyan,CHN,"35,31",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
58,Żurek,Damian,POL,"35,33",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
59,Mantia,Joey,USA,"35,35",2018-12-28,Salt Lake City (USA),USA - Long Track Championships 2019,m,2018,500
60,Kazelin,Mikhail,RUS,"35,39",2018-12-28,Kolomna,Boris I. Shavyrin Memorial,m,2018,500
60,Kosaka,Ryu,JPN,"35,39",2018-12-29,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,500
60,Ishikawa,Torai,JPN,"35,39",2019-02-16,Nagano (JPN),17th M-Wave Competition,m,2018,500
60,Reinton,Kristian Solland,NOR,"35,39",2019-02-23,Calgary (CAN),Time Trials,m,2018,500
64,van Oosten,Martijn,NED,"35,40",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,500
65,St-Jean,Alexandre,CAN,"35,41",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
65,Kleba,Austin,USA,"35,41",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
67,Nenzi,Mirko Giacomo,ITA,"35,43",2018-10-19,Inzell (GER),International Race,m,2018,500
68,Goto,Takuya,JPN,"35,46",2018-12-30,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,500
68,Deckert,Sam,CAN,"35,46",2019-01-25,Calgary (CAN),Canada Cup #3,m,2018,500
70,Yang,Tao,CHN,"35,47",2018-12-15,Heerenveen (NED),ISU World Cup,m,2018,500
70,Tsujimoto,Itsushi,JPN,"35,47",2018-12-29,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,500
70,Farstad,Odin By,NOR,"35,47",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
73,Vosté,Mathias,BEL,"35,48",2018-12-26,Heerenveen (NED),Kerstsprinttoernooi 2018,m,2018,500
73,Howe,Connor,CAN,"35,48",2019-01-04,Calgary (CAN),Canada Cup #2,m,2018,500
73,Klenko,Alexandr,KAZ,"35,48",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
76,La Rue,David,CAN,"35,49",2018-10-21,Calgary (CAN),Canada - Single Distances Championships 2019,m,2018,500
76,Chung,Jae-Woong,KOR,"35,49",2019-02-23,Heerenveen (NED),World Sprint Championships 2019,m,2018,500
78,Kubo,Koki,JPN,"35,50",2018-10-26,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,500
78,Lobas,Victor,RUS,"35,50",2018-12-29,Kolomna,Boris I. Shavyrin Memorial,m,2018,500
80,Kim,Young-Jin,KOR,"35,53",2018-10-26,Seoul (KOR),Korea - Single Distances Championships 2019,m,2018,500
80,Born,Joost,NED,"35,53",2019-01-26,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,500
80,Gélinas-Beaulieu,Antoine,CAN,"35,53",2019-03-02,Calgary (CAN),World Allround Championships 2019,m,2018,500
83,Morimoto,Takuya,JPN,"35,54",2018-12-30,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,500
83,Tian,Yu,CHN,"35,54",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
85,Kojima,Ryota,JPN,"35,56",2019-02-16,Nagano (JPN),17th M-Wave Competition,m,2018,500
86,Hou,Kaibo,CHN,"35,57",2019-04-12,Daqing (CHN),2nd Youth Games,m,2018,500
87,Dombek,Hendrik,GER,"35,58",2018-12-15,Heerenveen (NED),ISU World Cup,m,2018,500
88,Liiv,Marten,EST,"35,60",2018-12-15,Heerenveen (NED),ISU World Cup,m,2018,500
88,Arefyev,Artem,RUS,"35,60",2019-02-10,Baselga di Pinè (ITA),ISU Junior World Cup,m,2018,500
90,Perry,Brett,USA,"35,61",2018-12-28,Salt Lake City (USA),USA - Long Track Championships 2019,m,2018,500
90,Wang,Shiwei,CHN,"35,61",2019-03-08,Calgary (CAN),Grand Prix 2019,m,2018,500
92,van Dobbenburgh,Joost,NED,"35,62",2019-03-08,Calgary (CAN),Grand Prix 2019,m,2018,500
93,Uehara,Yuma,JPN,"35,63",2019-02-16,Nagano (JPN),17th M-Wave Competition,m,2018,500
93,Hartman,Steven,USA,"35,63",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,500
95,Abe,Keigo,JPN,"35,64",2018-10-26,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,500
95,Arzhanikov,Ivan,KAZ,"35,64",2018-12-15,Heerenveen (NED),ISU World Cup,m,2018,500
95,Kim,Jin-Su,KOR,"35,64",2018-12-28,Seoul (KOR),Korea - Sprint Championships 2019,m,2018,500
95,Kant,Tom,NED,"35,64",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,500
95,Kroken,Simen,NOR,"35,64",2019-03-08,Calgary (CAN),Grand Prix 2019,m,2018,500
95,Liu,An,CHN,"35,64",2019-03-22,Changchun (CHN),China - Single Distances Championships 2019,m,2018,500
1,Nuis,Kjeld,NED,"1.06,18",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
2,Krol,Thomas,NED,"1.06,25",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
3,Verbij,Kai,NED,"1.06,34",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
4,Kulizhnikov,Pavel,RUS,"1.06,47",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
5,Lorentzen,Håvard Holmefjord,NOR,"1.06,51",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
6,Dufter,Joel,GER,"1.06,80",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
7,Ihle,Nico,GER,"1.07,06",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
8,Yuskov,Denis,RUS,"1.07,20",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
9,Mantia,Joey,USA,"1.07,34",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
10,Mushtakov,Viktor,RUS,"1.07,36",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
11,Dubreuil,Laurent,CAN,"1.07,60",2019-01-05,Calgary (CAN),Canada Cup #2,m,2018,1000
12,Ning,Zhongyan,CHN,"1.07,80",2019-03-14,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
13,Yamada,Masaya,JPN,"1.08,03",2019-02-23,Heerenveen (NED),World Sprint Championships 2019,m,2018,1000
14,Otterspeer,Hein,NED,"1.08,05",2019-01-26,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,1000
15,Fujino,Yuto,JPN,"1.08,56",2019-02-09,Inzell (GER),World Single Distances Championships 2019,m,2018,1000
16,Shinhama,Tatsuya,JPN,"1.08,57",2019-02-23,Heerenveen (NED),World Sprint Championships 2019,m,2018,1000
16,Kim,Tae-Yun,KOR,"1.08,57",2019-03-09,Salt Lake City (USA),ISU World Cup Final,m,2018,1000
18,Velema,Lennart,NED,"1.08,60",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,1000
19,Howe,Connor,CAN,"1.08,61",2019-01-06,Calgary (CAN),Canada Cup #2,m,2018,1000
20,Gélinas-Beaulieu,Antoine,CAN,"1.08,69",2018-10-22,Calgary (CAN),Canada - Single Distances Championships 2019,m,2018,1000
21,Klenko,Alexandr,KAZ,"1.08,71",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
22,La Rue,David,CAN,"1.08,72",2019-03-14,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
23,Rukke,Henrik Fagerli,NOR,"1.08,78",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
24,Schipper,Pim,NED,"1.08,88",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,1000
24,Vosté,Mathias,BEL,"1.08,88",2019-02-09,Inzell (GER),World Single Distances Championships 2019,m,2018,1000
26,Johansson,Allan Dahl,NOR,"1.08,91",2018-12-16,Heerenveen (NED),ISU World Cup,m,2018,1000
27,Griffin,Kimani,USA,"1.08,92",2019-01-19,Salt Lake City (USA),Utah Olympic Oval Race #4,m,2018,1000
28,Fiola,Christopher,CAN,"1.08,99",2019-01-05,Calgary (CAN),Canada Cup #2,m,2018,1000
29,Lobas,Victor,RUS,"1.09,01",2018-12-16,Heerenveen (NED),ISU World Cup,m,2018,1000
29,Kim,Jin-Su,KOR,"1.09,01",2019-02-09,Inzell (GER),World Single Distances Championships 2019,m,2018,1000
29,Hospes,Jesper,NED,"1.09,01",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
32,Langelaar,Tyson,CAN,"1.09,02",2019-01-05,Calgary (CAN),Canada Cup #2,m,2018,1000
33,Esders,Gijs,NED,"1.09,03",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,1000
33,Wang,Shiwei,CHN,"1.09,03",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
35,Roest,Patrick,NED,"1.09,04",2019-02-23,Calgary (CAN),Time Trials,m,2018,1000
36,Golovatsiuk,Ignat,BLR,"1.09,07",2019-02-09,Inzell (GER),World Single Distances Championships 2019,m,2018,1000
37,Farstad,Odin By,NOR,"1.09,11",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
38,Deckert,Sam,CAN,"1.09,12",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
39,Oda,Takuro,JPN,"1.09,16",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
39,Hartman,Steven,USA,"1.09,16",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
41,Kondo,Taro,JPN,"1.09,29",2018-12-30,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,1000
41,Kleba,Austin,USA,"1.09,29",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
43,N'tab,Dai Dai,NED,"1.09,31",2018-11-04,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2018,1000
44,Haga,Ryohei,JPN,"1.09,32",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
45,Mulder,Michel,NED,"1.09,34",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,1000
46,Bosa,David,ITA,"1.09,35",2018-10-13,Inzell (GER),International Season Opening,m,2018,1000
46,van Dobbenburgh,Joost,NED,"1.09,35",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
48,Reinton,Kristian Solland,NOR,"1.09,36",2019-03-14,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
48,Born,Joost,NED,"1.09,36",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
50,Nagy,Konrád,HUN,"1.09,43",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
51,Michalski,Piotr,POL,"1.09,44",2019-02-09,Inzell (GER),World Single Distances Championships 2019,m,2018,1000
52,Kuznetsov,Artyom,RUS,"1.09,47",2018-12-29,Kolomna,Boris I. Shavyrin Memorial,m,2018,1000
53,Kosaka,Ryu,JPN,"1.09,50",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
53,van Oosten,Martijn,NED,"1.09,50",2018-11-04,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2018,1000
55,Owada,Tsukasa,JPN,"1.09,51",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
55,Dijs,Wesly,NED,"1.09,51",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,1000
57,Murashov,Ruslan,RUS,"1.09,53",2018-12-28,Kolomna,Boris I. Shavyrin Memorial,m,2018,1000
58,Jorritsma,Gerben,NED,"1.09,57",2019-01-26,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,1000
58,St-Jean,Alexandre,CAN,"1.09,57",2019-03-14,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
60,Arzhanikov,Ivan,KAZ,"1.09,58",2019-03-14,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
61,Neufeld,Jess,CAN,"1.09,60",2019-03-14,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
62,Williamson,Shane,JPN,"1.09,61",2018-12-29,Obihiro (JPN),Japan - Sprint Championships 2019,m,2018,1000
63,Mulder,Ronald,NED,"1.09,68",2018-10-13,Inzell (GER),International Season Opening,m,2018,1000
64,Nakamura,Shunsuke,JPN,"1.09,70",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
65,Hasegawa,Tsubasa,JPN,"1.09,71",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
66,Weidemann,Jake,CAN,"1.09,73",2019-01-06,Calgary (CAN),Canada Cup #2,m,2018,1000
66,Sæves,Johann Jørgen,NOR,"1.09,73",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
68,Miwa,Junya,JPN,"1.09,77",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
69,Romeijn,Aron,NED,"1.09,78",2018-10-13,Inzell (GER),International Season Opening,m,2018,1000
69,Xu,Fu,CHN,"1.09,78",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
69,Govers,Thijs,NED,"1.09,78",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
72,Chung,Jae-Woong,KOR,"1.09,80",2018-09-21,Calgary (CAN),Fall Classic 2018,m,2018,1000
73,Yesin,Alexey,RUS,"1.09,81",2019-01-12,Collalbo (ITA),European Championships 2019,m,2018,1000
74,Snel,Tijmen,NED,"1.09,82",2018-11-04,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2018,1000
75,Żurek,Damian,POL,"1.09,91",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
76,Yamanaka,Daichi,JPN,"1.09,94",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
76,Liiv,Marten,EST,"1.09,94",2018-12-16,Heerenveen (NED),ISU World Cup,m,2018,1000
76,Matsui,Yamato,JPN,"1.09,94",2019-02-09,Obihiro (JPN),47th Hokkaido Sprint Championship,m,2018,1000
79,Graham,Jacob,CAN,"1.09,97",2019-01-05,Calgary (CAN),Canada Cup #2,m,2018,1000
80,Kubo,Koki,JPN,"1.10,06",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
80,Bachanek,Marcin,POL,"1.10,06",2019-02-22,Inzell (GER),International Race,m,2018,1000
82,Bratli,Marius,NOR,"1.10,08",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
83,Kant,Tom,NED,"1.10,10",2019-01-27,Heerenveen (NED),Netherlands - Sprint Championships 2019,m,2018,1000
84,Nogal,Artur,POL,"1.10,11",2019-02-24,Heerenveen (NED),World Sprint Championships 2019,m,2018,1000
85,Hollaar,Louis,NED,"1.10,13",2018-11-04,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2018,1000
85,Jean,Olivier,CAN,"1.10,13",2019-01-05,Calgary (CAN),Canada Cup #2,m,2018,1000
87,Donnelly,Benjamin,CAN,"1.10,14",2019-03-14,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
88,Gavrilov,Demyan,KAZ,"1.10,16",2019-03-14,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
89,Ross,Jeff,CAN,"1.10,17",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
90,Cha,Min-Kyu,KOR,"1.10,19",2019-02-02,Hamar (NOR),ISU World Cup,m,2018,1000
91,Kazelin,Mikhail,RUS,"1.10,20",2018-12-29,Kolomna,Boris I. Shavyrin Memorial,m,2018,1000
91,Bosker,Marcel,NED,"1.10,20",2019-02-23,Calgary (CAN),Time Trials,m,2018,1000
93,Kuzin,Denis,KAZ,"1.10,22",2019-01-17,Astana (KAZ),Kazakhstan - Sprint Championships 2019,m,2018,1000
94,Marcotte,Hubert,CAN,"1.10,23",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
95,Nakamura,Hayato,JPN,"1.10,25",2018-10-27,Nagano (JPN),Japan - Single Distances Championships 2019,m,2018,1000
96,Magnussen,Bjørn,NOR,"1.10,27",2019-03-16,Calgary (CAN),Olympic Oval Finale - Canada Cup 4,m,2018,1000
97,Kozlov,Mikhail,RUS,"1.10,28",2018-10-28,Kolomna,Russia - Single Distances Championships 2019,m,2018,1000
