0,1
13372,July 1992 (M30)
46144,November 2003 (LN2)
29763,May 1992 (M30)
46155,May 2002 (LN4)
5195,November 1989 (M35)
13393,July 1995 (LSA)
29784,October 1998 (LSA)
21597,March 2000 (MSA)
29791,February 2003 (LN3)
29792,November 1995 (LSA)
21604,August 1995 (LSA)
5222,January 1992 (M30)
29804,November 2002 (MN3)
29818,September 2001 (MN4)
54412,December 2002 (MN3)
78991,October 2004 (LN1)
13456,September 1994 (M30)
46249,May 2000 (MSA)
13500,September 1991 (M30)
38087,December 1997 (MSA)
54472,July 2003 (LN2)
46291,September 2002 (MN3)
38100,January 1993 (M30)
54486,October 2004 (MN1)
54487,November 2003 (MN2)
21730,July 1997 (MSA)
29931,March 2001 (LSA)
46320,June 2005 (MN1)
38142,June 2001 (LSA)
5379,October 1992 (L30)
70924,December 2004 (MN1)
46368,August 2003 (MN2)
38177,August 2001 (LN4)
62755,November 2003 (LN2)
13604,February 1995 (L30)
29989,May 1997 (LSA)
38242,December 1986 (M35)
38244,March 2005 (LN1)
46441,August 2002 (MN3)
5487,November 1989 (M35)
87410,December 1997 (MSA)
46453,September 1996 (MSA)
5500,December 1987 (M35)
46482,December 2001 (LN4)
13714,August 1995 (MSA)
62870,November 2003 (LN2)
62879,Male
62882,November 2003 (MN2)
54693,July 2000 (LSA)
5547,October 1992 (L30)
5552,June 1990 (M35)
5554,January 1993 (L30)
5555,November 1991 (L30)
38326,March 2005 (LN1)
38329,February 2002 (MN4)
30142,July 1997 (LSA)
38334,March 1993 (M30)
13773,February 1995 (M30)
13784,September 1993 (M30)
5600,April 1990 (M35)
5604,June 1994 (M30)
62950,August 2001 (MN4)
5606,May 1989 (L35)
5607,July 1995 (LSA)
13800,December 1993 (L30)
46569,September 2000 (MSA)
5612,December 1986 (M35)
13810,July 1994 (L30)
54772,October 1996 (MSA)
22023,March 1995 (L30)
30216,July 1996 (MSA)
5642,February 1991 (L30)
38410,September 2005 (MA2)
13838,June 1986 (M35)
5647,July 1989 (M35)
5652,December 1988 (M35)
30230,July 1998 (LSA)
63000,September 1996 (MSA)
30238,August 1994 (M30)
5671,January 1989 (L35)
5675,July 1991 (L30)
38502,October 2002 (LN3)
54889,May 2001 (MSA)
30327,July 1995 (MSA)
46713,Female
5754,April 1993 (M30)
5761,July 1992 (M30)
5770,May 1993 (L30)
30367,August 1996 (LSA)
30371,July 1996 (LSA)
5796,December 1991 (L30)
5797,March 1992 (L30)
30372,December 1995 (LSA)
63142,July 2003 (MN2)
30377,March 1997 (LSA)
30383,March 1997 (LSA)
5808,March 1991 (L30)
30385,June 2005 (LN1)
30387,September 1996 (MSA)
5813,September 1988 (M35)
5828,January 1990 (L35)
30407,December 1999 (LSA)
5842,January 1990 (L35)
46808,February 1998 (MSA)
14073,October 1992 (M30)
14079,November 1994 (M30)
22286,November 1995 (LSA)
38671,July 1991 (L30)
22289,March 1996 (MSA)
14099,May 1994 (L30)
14119,April 1996 (MSA)
55090,April 1994 (L30)
5948,March 1989 (M35)
5951,December 1990 (M30)
30528,January 1997 (LSA)
30529,January 1998 (LSA)
30531,September 1997 (MSA)
22341,January 1987 (L35)
5957,June 1992 (L30)
