ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
,,Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
10255.0,135.0,34,Gunther,Kelly,USA,"1.17,02",2015-03-07,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,1000
787.0,136.0,35,Todd,Sugar,USA,"1.17,13",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
3606.0,137.0,36,Oenema,Thijsje,NED,"1.17,16",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
829.0,138.0,37,Gerritsen,Annette,NED,"1.17,18",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
2464.0,139.0,38,Gregg,Jessica,CAN,"1.17,20",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
5554.0,140.0,39,Carruthers,Heather,CAN,"1.17,24",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
18959.0,141.0,40,Wijfje,Melissa,NED,"1.17,28",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
822.0,142.0,40,Hirschbichler,Gabriele,GER,"1.17,28",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
4712.0,143.0,42,van der Werff,Bo,NED,"1.17,38",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
4077.0,144.0,43,van den Brandt,Floor,NED,"1.17,45",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
1260.0,145.0,44,Oudenaarden,Tamara,CAN,"1.17,53",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,f,2014,1000
397.0,146.0,45,Rempel,Shannon,CAN,"1.17,74",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
9908.0,147.0,46,Ryzhova,Margarita,RUS,"1.17,76",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
14099.0,148.0,47,Toi,Saori,JPN,"1.17,77",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
1696.0,149.0,48,Sumiyoshi,Miyako,JPN,"1.17,91",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
4625.0,150.0,49,Bøkko,Hege,NOR,"1.17,97",2015-02-07,Heerenveen (NED),ISU World Cup,f,2014,1000
1788.0,151.0,50,van der Weijden,Annouk,NED,"1.17,99",2015-02-08,Heerenveen (NED),ISU World Cup,f,2014,1000
5842.0,152.0,51,Aseeva,Nadezhda,RUS,"1.18,06",2014-11-15,Obihiro (JPN),ISU World Cup,f,2014,1000
40476.0,153.0,52,Sun,Nan,CHN,"1.18,09",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
12830.0,154.0,52,Takagi,Miho,JPN,"1.18,09",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
1344.0,155.0,54,Joling,Marije,NED,"1.18,11",2014-10-25,Heerenveen (NED),Trainingswedstrijd KNSB- en Merkenteams,f,2014,1000
24558.0,156.0,55,Fujimori,Miki,JPN,"1.18,12",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,1000
18036.0,157.0,56,Rijpma-de Jong,Antoinette,NED,"1.18,14",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
1341.0,158.0,57,Das,Anice,NED,"1.18,16",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
29275.0,159.0,58,Schwartzburg,Paige,USA,"1.18,17",2015-03-07,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,1000
174.0,160.0,59,Tabata,Maki,JPN,"1.18,20",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
40477.0,161.0,60,Li,Huawei,CHN,"1.18,23",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
10225.0,162.0,61,Morrison,Josie,CAN,"1.18,24",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
20443.0,163.0,62,Weidemann,Isabelle,CAN,"1.18,26",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
1711.0,164.0,63,Hudey,Marsha,CAN,"1.18,28",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
19161.0,165.0,63,Fiset,Noémie,CAN,"1.18,28",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
18619.0,166.0,65,Sha,Yuning,CHN,"1.18,30",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
3147.0,167.0,65,Matsuda,Yuki,JPN,"1.18,30",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
9653.0,168.0,67,Jang,Mee,KOR,"1.18,32",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
24419.0,169.0,68,Golubeva,Elizaveta,KAZ,"1.18,34",2015-01-10,Kolomna,Russia Cup 4,f,2014,1000
925.0,170.0,68,Ost,Isabell,GER,"1.18,34",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
604.0,171.0,70,Tsuji,Maki,JPN,"1.18,39",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
5067.0,172.0,71,Arshinova,Irina,RUS,"1.18,42",2015-01-10,Kolomna,Russia Cup 4,f,2014,1000
9561.0,173.0,72,Golikova,Angelina,RUS,"1.18,46",2014-10-18,Kolomna,Russia Cup 1,f,2014,1000
1340.0,174.0,72,Valkenburg,Diane,NED,"1.18,46",2015-01-17,Heerenveen (NED),Trainingswedstrijd JO en Merkenteams,f,2014,1000
4268.0,175.0,72,Achtereekte,Carlijn,NED,"1.18,46",2015-02-07,Inzell (GER),Bayerische Meisterschaften 2015,f,2014,1000
4212.0,176.0,75,Park,Seung-Joo,KOR,"1.18,52",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
4586.0,177.0,76,Yu,Jing,CHN,"1.18,53",2014-12-21,Changchun (CHN),China - Sprint Championships 2015,f,2014,1000
5957.0,178.0,77,Schouten,Irene,NED,"1.18,67",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
940.0,179.0,78,Roth,Denise,GER,"1.18,69",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
1924.0,180.0,79,Shabanova,Alla,RUS,"1.18,72",2014-11-09,Kolomna,Moscow Region Open Championship,f,2014,1000
17632.0,181.0,80,Kachurkina,Alexandra,RUS,"1.18,74",2015-03-07,Kolomna,Russia Cup,f,2014,1000
201.0,182.0,81,Pechstein,Claudia,GER,"1.18,76",2015-01-24,Berlin (GER),Germany - Sprint Championships 2015,f,2014,1000
4564.0,183.0,82,Li,Xue,CHN,"1.18,77",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
3220.0,184.0,83,Go,Arisa,JPN,"1.18,81",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
17787.0,185.0,84,Voronina,Natalia,RUS,"1.18,85",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
5547.0,186.0,85,Klijnstra,Moniek,NED,"1.18,86",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
9657.0,187.0,86,Kim,Hyun-Yung,KOR,"1.18,87",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
2131.0,188.0,86,Kuipers,Mayon,NED,"1.18,87",2014-10-11,Inzell (GER),International Season Opening,f,2014,1000
3605.0,189.0,88,Nauta,Yvonne,NED,"1.18,96",2014-10-25,Heerenveen (NED),Trainingswedstrijd KNSB- en Merkenteams,f,2014,1000
22.0,190.0,89,Sáblíková,Martina,CZE,"1.19,00",2014-12-06,Berlin (GER),ISU World Cup,f,2014,1000
19908.0,191.0,90,Yamane,Kako,JPN,"1.19,02",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,1000
5642.0,192.0,91,Pater,Rosa,NED,"1.19,07",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
34997.0,193.0,92,Kim,Min-Sun,KOR,"1.19,08",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
4585.0,194.0,93,Zhang,Xin,CHN,"1.19,09",2015-02-07,Heerenveen (NED),ISU World Cup,f,2014,1000
2421.0,195.0,94,Dufter,Roxane,GER,"1.19,10",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
21549.0,196.0,95,Sato,Ayano,JPN,"1.19,15",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,1000
933.0,197.0,96,Plate,Jennifer,GER,"1.19,17",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
4152.0,198.0,97,Fu,Chunyan,CHN,"1.19,20",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
